segment_id	unit_x	doc_id_x	bertopic_topic	bertopic_is_outlier	bertopic_probability	embedding_model	text_preview_x	source_xml_x	xml_doc_index_x	title_x	author_x	century_x	genre_x	publication_x	category_x	year_x	language_x	gerne_x	cemtury_x	unit_y	doc_id_y	sent_ids	n_sent_ids	token_count	word_token_count	lemma_token_count	text_preview_y	source_xml_y	xml_doc_index_y	title_y	author_y	century_y	genre_y	publication_y	category_y	year_y	language_y	gerne_y	cemtury_y	_score	review_source
wikivir-000125::window::27	window	wikivir-000125	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	se je zadrl grofPrav se ti godiPusti tuje golobice tujim golobomkadar pridejo vasovat drugi k vamjim pa vrniteAli on se je smejal tudi takratče so napadli pijani in samopašni kmetje koga brez vzrokaNe	wikivir.xml	125	Bajke in povesti o Gorjancih	Janez Trdina		kratka proza							window	wikivir-000125	wikivir-000125.s000232|wikivir-000125.s000233|wikivir-000125.s000234|wikivir-000125.s000235|wikivir-000125.s000236|wikivir-000125.s000237|wikivir-000125.s000238|wikivir-000125.s000239|wikivir-000125.s000240|wikivir-000125.s000241|wikivir-000125.s000242|wikivir-000125.s000243|wikivir-000125.s000244|wikivir-000125.s000245|wikivir-000125.s000246|wikivir-000125.s000247|wikivir-000125.s000248|wikivir-000125.s000249|wikivir-000125.s000250|wikivir-000125.s000251	24	300	300	147	se je zadrl grofPrav se ti godiPusti tuje golobice tujim golobomkadar pridejo vasovat drugi k vamjim pa vrniteAli on se je smejal tudi takratče so napadli pijani in samopašni kmetje koga brez vzrokaNemirnjakov in pretepačev ni kaznoval nikolirazen če so se lotili njegovih služabnikovVohunov je imel 	wikivir.xml	125	Bajke in povesti o Gorjancih	Janez Trdina		kratka proza							0.0	top
wikivir-000125::window::52	window	wikivir-000125	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	Ko pa so se od čuda zopet zavedeliso jeli kričati vsi v en glasViš ga noto je Peternihče drug nego Kresetov Peterle poglejte mu krivo desno nogo pa tumpasti nos in bradavico pod levim očesomO hohoPete	wikivir.xml	125	Bajke in povesti o Gorjancih	Janez Trdina		kratka proza							window	wikivir-000125	wikivir-000125.s000488|wikivir-000125.s000489|wikivir-000125.s000490|wikivir-000125.s000491|wikivir-000125.s000492|wikivir-000125.s000493|wikivir-000125.s000494|wikivir-000125.s000495|wikivir-000125.s000496|wikivir-000125.s000497|wikivir-000125.s000498|wikivir-000125.s000499|wikivir-000125.s000500|wikivir-000125.s000501|wikivir-000125.s000502|wikivir-000125.s000503	16	300	300	145	Ko pa so se od čuda zopet zavedeliso jeli kričati vsi v en glasViš ga noto je Peternihče drug nego Kresetov Peterle poglejte mu krivo desno nogo pa tumpasti nos in bradavico pod levim očesomO hohoPeterPovej nam nokako si se prelevil tako hitro iz kmeta v grofaMnogi so se mu začeli zdaj na vse grlo g	wikivir.xml	125	Bajke in povesti o Gorjancih	Janez Trdina		kratka proza							0.0	top
wikivir-000129::window::3	window	wikivir-000129	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	sam svojim šalamKo pa je odjecljal prvih pet ali šest besedse mu je razvezal jezik in zdrknila je z njega dostikrat tako slanada so se morali prijeti možaki za trebuhda jim ga ne raznese smehbabe pa s	wikivir.xml	129	Bajke in povesti o Gorjancih	Janez Trdina		kratka proza							window	wikivir-000129	wikivir-000129.s000018|wikivir-000129.s000019|wikivir-000129.s000020|wikivir-000129.s000021|wikivir-000129.s000022|wikivir-000129.s000023|wikivir-000129.s000024|wikivir-000129.s000025|wikivir-000129.s000026|wikivir-000129.s000027|wikivir-000129.s000028|wikivir-000129.s000029|wikivir-000129.s000030|wikivir-000129.s000031|wikivir-000129.s000032|wikivir-000129.s000033|wikivir-000129.s000034|wikivir-000129.s000035|wikivir-000129.s000036|wikivir-000129.s000037	20	300	300	141	sam svojim šalamKo pa je odjecljal prvih pet ali šest besedse mu je razvezal jezik in zdrknila je z njega dostikrat tako slanada so se morali prijeti možaki za trebuhda jim ga ne raznese smehbabe pa so bežale iz hišekakor bi jih pritiskal za petami sam peklenski rogatecNjegove burkevesteniso bile vs	wikivir.xml	129	Bajke in povesti o Gorjancih	Janez Trdina		kratka proza							0.0	top
wikivir-000254::window::18	window	wikivir-000254	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	dušoNjen glas je bil pogumenLe Metino srce ga ni moglo razumetiZato se je zatekla k svojemu ljubemu in ga poklicalaOžbejOžbejNjen klic ni bil zamanOžbejki je ves čas stiskal svoj obraz v dlanije skoči	wikivir.xml	254	Samorastniki	Lovro Kuhar	20.0	novele							window	wikivir-000254	wikivir-000254.s000162|wikivir-000254.s000163|wikivir-000254.s000164|wikivir-000254.s000165|wikivir-000254.s000166|wikivir-000254.s000167|wikivir-000254.s000168|wikivir-000254.s000169|wikivir-000254.s000170|wikivir-000254.s000171|wikivir-000254.s000172|wikivir-000254.s000173|wikivir-000254.s000174|wikivir-000254.s000175|wikivir-000254.s000176|wikivir-000254.s000177	16	300	300	142	dušoNjen glas je bil pogumenLe Metino srce ga ni moglo razumetiZato se je zatekla k svojemu ljubemu in ga poklicalaOžbejOžbejNjen klic ni bil zamanOžbejki je ves čas stiskal svoj obraz v dlanije skočil na sredo hišeOčekaznujte menejaz sem krivToda oče ga je zlomil z mrzlimgrozečim pogledomne da bi s	wikivir.xml	254	Samorastniki	Lovro Kuhar	20	novele							0.0	top
wikivir-000338::window::103	window	wikivir-000338	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	hodil je štirikrat tako brzo kot starecV glavi pa mu je bilokakor da bi zvonilo po njejVerjeti ni mogel in vendar bi bil rad verjelKo pa je prišel v Basnigojevinovidel je tu na licih družinčetki so bi	wikivir.xml	338	Lepa Vida	Josip Jurčič	19.0	romani							window	wikivir-000338	wikivir-000338.s001033|wikivir-000338.s001034|wikivir-000338.s001035|wikivir-000338.s001036|wikivir-000338.s001037|wikivir-000338.s001038|wikivir-000338.s001039|wikivir-000338.s001040|wikivir-000338.s001041|wikivir-000338.s001042|wikivir-000338.s001043|wikivir-000338.s001044|wikivir-000338.s001045|wikivir-000338.s001046|wikivir-000338.s001047|wikivir-000338.s001048|wikivir-000338.s001049|wikivir-000338.s001050|wikivir-000338.s001051|wikivir-000338.s001052	21	300	300	133	hodil je štirikrat tako brzo kot starecV glavi pa mu je bilokakor da bi zvonilo po njejVerjeti ni mogel in vendar bi bil rad verjelKo pa je prišel v Basnigojevinovidel je tu na licih družinčetki so bila po dvoriščuda je resda je reskar mu je tast prišel pravitIn vrabci na senici izpod slame so čivka	wikivir.xml	338	Lepa Vida	Josip Jurčič	19	romani							0.0	top
wikivir-000345::window::78	window	wikivir-000345	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	svojim duhom bil še skoraj v VelesovemKonj je počasi stopal s pobešeno glavokot bi gospoda ne hotel motiti v globokem premišljevanjiin bi bil spoznal gospodovo žalostPreden je pričakovalzagleda gospod	wikivir.xml	345	Bore mladost	Janez Mencinger	19.0	povesti							window	wikivir-000345	wikivir-000345.s000623|wikivir-000345.s000624|wikivir-000345.s000625|wikivir-000345.s000626|wikivir-000345.s000627|wikivir-000345.s000628|wikivir-000345.s000629|wikivir-000345.s000630|wikivir-000345.s000631|wikivir-000345.s000632|wikivir-000345.s000633|wikivir-000345.s000634|wikivir-000345.s000635|wikivir-000345.s000636|wikivir-000345.s000637|wikivir-000345.s000638	16	300	300	154	svojim duhom bil še skoraj v VelesovemKonj je počasi stopal s pobešeno glavokot bi gospoda ne hotel motiti v globokem premišljevanjiin bi bil spoznal gospodovo žalostPreden je pričakovalzagleda gospod prijazne okna svojega gradičaKo pa Mirko pride k mostu pod jezeromčuje iz grada glasno godboples in	wikivir.xml	345	Bore mladost	Janez Mencinger	19	povesti							0.0	top
wikivir-000345::window::79	window	wikivir-000345	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	bom čul vašega šundraŽenin naj pa precej pred me pridein z nikomur nocoj ne bo plesal kakor z manoOsupnjena in molčé se verneta moža v gradda prineseta neprijetno zapovedgospod pa je divjal v svojem j	wikivir.xml	345	Bore mladost	Janez Mencinger	19.0	povesti							window	wikivir-000345	wikivir-000345.s000630|wikivir-000345.s000631|wikivir-000345.s000632|wikivir-000345.s000633|wikivir-000345.s000634|wikivir-000345.s000635|wikivir-000345.s000636|wikivir-000345.s000637|wikivir-000345.s000638|wikivir-000345.s000639|wikivir-000345.s000640|wikivir-000345.s000641|wikivir-000345.s000642|wikivir-000345.s000643|wikivir-000345.s000644|wikivir-000345.s000645|wikivir-000345.s000646|wikivir-000345.s000647|wikivir-000345.s000648|wikivir-000345.s000649	22	300	300	153	bom čul vašega šundraŽenin naj pa precej pred me pridein z nikomur nocoj ne bo plesal kakor z manoOsupnjena in molčé se verneta moža v gradda prineseta neprijetno zapovedgospod pa je divjal v svojem jadubarvo je spreminjal in tresel se je po životuNaglo so se godci in plesavci ukradli skozi zadnje v	wikivir.xml	345	Bore mladost	Janez Mencinger	19	povesti							0.0	top
wikivir-000539::window::6	window	wikivir-000539	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	svincaPotem jestapa je Palček pojedel polno skledovrag pa ničNato pride deveta uraŠla sta se skušatnajprej metati meč v zrakVrag ga je tako vrgelda ga pol dneva ni bilo dolPotem sta se šla metatPalček	wikivir.xml	539	Palček	Matija Valjavec		pravljice							window	wikivir-000539	wikivir-000539.s000077|wikivir-000539.s000078|wikivir-000539.s000079|wikivir-000539.s000080|wikivir-000539.s000081|wikivir-000539.s000082|wikivir-000539.s000083|wikivir-000539.s000084|wikivir-000539.s000085|wikivir-000539.s000086|wikivir-000539.s000087|wikivir-000539.s000088|wikivir-000539.s000089|wikivir-000539.s000090|wikivir-000539.s000091|wikivir-000539.s000092	16	122	122	71	svincaPotem jestapa je Palček pojedel polno skledovrag pa ničNato pride deveta uraŠla sta se skušatnajprej metati meč v zrakVrag ga je tako vrgelda ga pol dneva ni bilo dolPotem sta se šla metatPalček je vrgel vraga do vratu v svinecPotem ga je vprašalKje sta moja brataVrag rečeNe vemkje staNato mu 	wikivir.xml	539	Palček	Matija Valjavec		pravljice							0.0	top
wikivir-000553::window::92	window	wikivir-000553	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	ni kar nič odganjalampak še bolj negovalker je dobro služila njegovi škodoželjnosti in maščevalnostiIn morda je bil sam zlobecki mu je šepetal na uhoUbij gaUbij KlemenaRad je poslušal te zdivjane glas	wikivir.xml	553	Vaški pohajač	Fran Jaklič		kmecke povesti							window	wikivir-000553	wikivir-000553.s001157|wikivir-000553.s001158|wikivir-000553.s001159|wikivir-000553.s001160|wikivir-000553.s001161|wikivir-000553.s001162|wikivir-000553.s001163|wikivir-000553.s001164|wikivir-000553.s001165|wikivir-000553.s001166|wikivir-000553.s001167|wikivir-000553.s001168|wikivir-000553.s001169|wikivir-000553.s001170|wikivir-000553.s001171|wikivir-000553.s001172|wikivir-000553.s001173|wikivir-000553.s001174|wikivir-000553.s001175|wikivir-000553.s001176	33	300	300	144	ni kar nič odganjalampak še bolj negovalker je dobro služila njegovi škodoželjnosti in maščevalnostiIn morda je bil sam zlobecki mu je šepetal na uhoUbij gaUbij KlemenaRad je poslušal te zdivjane glasoveker so stregli njegovi strastiRoke so se mu pestile in obšlo ga je veselje pobijanjaStreti vse ti	wikivir.xml	553	Vaški pohajač	Fran Jaklič		kmecke povesti							0.0	top
wikivir-000553::window::109	window	wikivir-000553	0	False		sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	Ljubepovejkaj pravi tožbaAli je hiša mojaali je bratovaPovejKako jevpraša JeromVesel je bilda je našel Ljubejakateri mu lahko vse pojasniLjube si je pa mislilSedaj mu lahko povemko je časda se ga vsaj	wikivir.xml	553	Vaški pohajač	Fran Jaklič		kmecke povesti							window	wikivir-000553	wikivir-000553.s001350|wikivir-000553.s001351|wikivir-000553.s001352|wikivir-000553.s001353|wikivir-000553.s001354|wikivir-000553.s001355|wikivir-000553.s001356|wikivir-000553.s001357|wikivir-000553.s001358|wikivir-000553.s001359|wikivir-000553.s001360|wikivir-000553.s001361|wikivir-000553.s001362|wikivir-000553.s001363|wikivir-000553.s001364|wikivir-000553.s001365|wikivir-000553.s001366|wikivir-000553.s001367|wikivir-000553.s001368|wikivir-000553.s001369	53	300	300	165	Ljubepovejkaj pravi tožbaAli je hiša mojaali je bratovaPovejKako jevpraša JeromVesel je bilda je našel Ljubejakateri mu lahko vse pojasniLjube si je pa mislilSedaj mu lahko povemko je časda se ga vsaj odkrižam in imam potem mirJeromnič niTožba pravida je vse bratovoKar ubriši se pod nosom in potrpip	wikivir.xml	553	Vaški pohajač	Fran Jaklič		kmecke povesti							0.0	top
